City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
302,Torbay,CA,47.6666,-52.7314,50.77,59,20,19.57,few clouds
303,Lakselv,NO,70.0513,24.9718,35.42,80,100,18.41,overcast clouds
304,Bubaque,GW,11.2833,-15.8333,82.87,79,100,8.81,overcast clouds
305,Santa Vitoria Do Palmar,BR,-33.5189,-53.3681,76.82,50,0,9.01,clear sky
306,Cerro Punta,PA,8.85,-82.5667,58.73,87,89,1.88,light rain
307,Meadow Lake,US,34.8014,-106.5436,59.43,34,0,5.46,clear sky
308,Katsuura,JP,35.1333,140.3,60.01,81,0,11.9,clear sky
309,Terrace Bay,CA,48.7834,-87.1,44.73,77,8,14.38,clear sky
310,Dauphin,CA,51.1494,-100.0502,51.94,50,0,12.66,clear sky
311,Shahpur,IN,16.7,76.8333,71.67,63,100,8.14,overcast clouds
312,Narasannapeta,IN,18.4167,84.05,71.38,78,0,6.26,clear sky
313,Nouakchott,MR,18.0858,-15.9785,84.13,49,3,11.95,clear sky
314,Najran,SA,17.4924,44.1277,66.85,26,7,1.39,clear sky
315,Pisco,PE,-13.7,-76.2167,64.45,77,75,10.36,haze
316,Victor Harbor,AU,-35.5667,138.6167,49.68,75,25,9.62,scattered clouds
317,Kisangani,CD,0.5167,25.2,71.31,94,100,1.28,light rain
318,Brumunddal,NO,60.881,10.9395,45.66,99,100,1.39,light rain
319,Sur,OM,22.5667,59.5289,78.64,74,0,2.48,clear sky
320,Chulman,RU,56.8479,124.9104,-3.37,100,72,1.68,broken clouds
321,Azogues,EC,-2.7333,-78.8333,69.75,70,99,1.79,light rain
322,Stornoway,GB,58.2093,-6.3865,53.56,88,75,9.22,broken clouds
323,Vallenar,CL,-28.5708,-70.7581,79.07,26,0,8.75,clear sky
324,Challapata,BO,-18.9,-66.7667,62.15,7,3,7.58,clear sky
325,Marovoay,MG,-16.1,46.6333,78.03,81,2,5.73,light rain
326,Hohhot,CN,40.8106,111.6522,46.69,66,40,2.24,light rain
327,Rizhao,CN,35.4275,119.4553,49.86,70,60,8.34,broken clouds
328,Honiara,SB,-9.4333,159.95,79.92,83,55,1.9,broken clouds
329,Parana,AR,-31.732,-60.5238,92.57,26,0,11.39,light rain
330,Sao Filipe,CV,14.8961,-24.4956,80.96,68,81,7.54,broken clouds
331,Kostomuksha,RU,64.571,30.5767,40.59,97,100,9.08,overcast clouds
332,Bom Jesus,BR,-9.0744,-44.3586,84.99,51,100,3.67,overcast clouds
333,Pozo Colorado,PY,-23.4923,-58.7972,86.13,60,97,5.3,overcast clouds
334,Deputatskiy,RU,69.3,139.9,-0.27,96,100,1.83,overcast clouds
335,Srednekolymsk,RU,67.45,153.6833,-4.56,99,96,6.76,overcast clouds
336,Port Hardy,CA,50.6996,-127.4199,48.38,87,100,12.66,light intensity shower rain
337,Tevaitoa,PF,-16.7833,-151.5,79.27,76,16,11.41,light rain
338,Lufilufi,WS,-13.8745,-171.5986,83.98,78,93,11.45,overcast clouds
339,San Cristobal,VE,7.7669,-72.225,75.38,59,72,4.94,broken clouds
340,Acapulco,MX,16.8634,-99.8901,85.82,74,20,6.91,moderate rain
341,Praia,CV,14.9215,-23.5087,86.54,30,0,14.97,clear sky
342,Olafsvik,IS,64.8945,-23.7142,41.11,74,87,3.8,overcast clouds
343,The Valley,AI,18.217,-63.0578,85.86,74,20,18.41,few clouds
344,Inhambane,MZ,-23.865,35.3833,72.77,89,100,10.98,light rain
345,Timizart,DZ,36.8,4.2667,68.85,38,4,5.59,clear sky
346,Berlevag,NO,70.8578,29.0864,35.6,75,75,14.97,broken clouds
