City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
274,Buin,CL,82.44,overcast clouds,-33.7333,-70.75,Paihuen
276,Paso De Carrasco,UY,88.25,broken clouds,-34.8603,-56.0522,Hotel Sofitel Montevideo Casino Carrasco and Spa
277,Arlit,NE,79.45,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
280,Salalah,OM,78.89,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
288,Yenangyaung,MM,75.47,broken clouds,20.4667,94.8833,Hotel Country
289,Kaputa,ZM,78.3,overcast clouds,-8.4689,29.6619,Chelelwa Charlets
291,Ambon,ID,79.23,few clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
294,Juba,SS,76.48,overcast clouds,4.8517,31.5825,ROYAL PALACE HOTEL - JUBA
297,Puerto Ayacucho,VE,89.51,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
298,Mubi,NG,78.06,overcast clouds,10.2676,13.2644,LASVEGAS BAR AND MOTEL
304,Bubaque,GW,82.87,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
305,Santa Vitoria Do Palmar,BR,76.82,clear sky,-33.5189,-53.3681,Hostel Comodoro
313,Nouakchott,MR,84.13,clear sky,18.0858,-15.9785,HOTEL IMAN
319,Sur,OM,78.64,clear sky,22.5667,59.5289,Sur Plaza Hotel
323,Vallenar,CL,79.07,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
325,Marovoay,MG,78.03,light rain,-16.1,46.6333,Hôtel les Oliviers Marovoay
328,Honiara,SB,79.92,broken clouds,-9.4333,159.95,Heritage Park Hotel
330,Sao Filipe,CV,80.96,broken clouds,14.8961,-24.4956,Hotel Xaguate
332,Bom Jesus,BR,84.99,overcast clouds,-9.0744,-44.3586,Hotel Brasão & Floricultura Bella Flor
333,Pozo Colorado,PY,86.13,overcast clouds,-23.4923,-58.7972,Hospedaje La Norteña
337,Tevaitoa,PF,79.27,light rain,-16.7833,-151.5,Hôtel Raiatea Lodge
338,Lufilufi,WS,83.98,overcast clouds,-13.8745,-171.5986,Leuaina Beach Resort and Spa
339,San Cristobal,VE,75.38,broken clouds,7.7669,-72.225,Pirineos
340,Acapulco,MX,85.82,moderate rain,16.8634,-99.8901,HS Hotsson Smart Acapulco
341,Praia,CV,86.54,clear sky,14.9215,-23.5087,LT Aparthotel
343,The Valley,AI,85.86,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
347,Bandarbeyla,SO,79.16,light rain,9.4942,50.8122,JABIR HOTEL
349,Porto Franco,BR,82.6,overcast clouds,-6.3383,-47.3992,Saint Louis Hotel
350,Sorong,ID,78.28,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
356,Alugan,PH,79.75,heavy intensity rain,12.2188,125.4808,JM Lodge
364,Garowe,SO,76.17,clear sky,8.4054,48.4845,Curubo Hotel
367,Banda Aceh,ID,78.58,light rain,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
368,Minab,IR,80.92,overcast clouds,27.1467,57.0801,Bam campground
371,Beira,MZ,77.59,scattered clouds,-19.8436,34.8389,Beira Terrace Hotel
372,Umm Kaddadah,SD,82.74,few clouds,13.6017,26.6876,
374,Bodden Town,KY,86.94,scattered clouds,19.2833,-81.25,Will T Place
376,Kavaratti,IN,81.43,broken clouds,10.5669,72.642,Green leaf
378,Simbahan,PH,82.56,overcast clouds,6.3032,120.5836,
382,Kyabe,TD,79.3,overcast clouds,9.4515,18.9449,
